Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,278.473876,-58.294739,90.0,bottom
C10,100nF,C_0402_1005Metric,259.806913,-80.108225,45.0,bottom
C11,100nF,C_0402_1005Metric,266.7,-93.26875,270.0,bottom
C12,100nF,C_0402_1005Metric,256.079157,-82.336639,45.0,bottom
C13,100nF,C_0402_1005Metric,268.44375,-88.10625,225.0,bottom
C14,100nF,C_0402_1005Metric,254.158151,-91.578582,315.0,bottom
C15,100nF,C_0402_1005Metric,267.310493,-80.769544,135.0,bottom
C16,1uF,C_0402_1005Metric,262.73125,-69.8,180.0,bottom
C17,1uF,C_0402_1005Metric,262.73125,-75.94375,0.0,bottom
C18,100n,C_0402_1005Metric,269.749057,-81.944166,135.0,bottom
C2,22pF,C_0402_1005Metric,258.5146,-93.072144,270.0,bottom
C3,22pF,C_0402_1005Metric,251.799552,-93.007954,225.0,bottom
C4,1uF,C_0402_1005Metric,263.016372,-78.58125,90.0,bottom
C5,100nF,C_0402_1005Metric,268.1041,-81.458298,135.0,bottom
C6,100nF,C_0402_1005Metric,253.41459,-90.860544,315.0,bottom
C7,10uF,C_0402_1005Metric,262.73125,-74.95,180.0,bottom
C8,1uF,C_0402_1005Metric,262.09375,-78.58125,90.0,bottom
C9,100nF,C_0402_1005Metric,260.514218,-79.343869,45.0,bottom
D1,D_Small,D_SOD-123F,33.3375,-46.0375,180.0,bottom
D10,D_Small,D_SOD-123F,193.675,-46.0375,0.0,bottom
D11,D_Small,D_SOD-123F,212.725,-46.0375,0.0,bottom
D12,D_Small,D_SOD-123F,231.775,-46.0375,0.0,bottom
D13,D_Small,D_SOD-123F,272.25625,-57.15,0.0,bottom
D14,D_Small,D_SOD-123F,33.3375,-49.2125,180.0,bottom
D15,D_Small,D_SOD-123F,38.70625,-49.2125,0.0,bottom
D16,D_Small,D_SOD-123F,59.53125,-49.2125,0.0,bottom
D17,D_Small,D_SOD-123F,79.375,-49.2125,0.0,bottom
D18,D_Small,D_SOD-123F,98.425,-49.2125,0.0,bottom
D19,D_Small,D_SOD-123F,117.475,-49.2125,0.0,bottom
D2,D_Small,D_SOD-123F,38.70625,-46.0375,0.0,bottom
D20,D_Small,D_SOD-123F,136.525,-49.2125,0.0,bottom
D21,D_Small,D_SOD-123F,155.575,-49.2125,0.0,bottom
D22,D_Small,D_SOD-123F,174.625,-49.2125,0.0,bottom
D23,D_Small,D_SOD-123F,193.675,-49.2125,0.0,bottom
D24,D_Small,D_SOD-123F,212.725,-49.2125,0.0,bottom
D25,D_Small,D_SOD-123F,231.775,-49.2125,0.0,bottom
D26,D_Small,D_SOD-123F,33.3375,-52.3875,180.0,bottom
D27,D_Small,D_SOD-123F,38.70625,-52.3875,0.0,bottom
D28,D_Small,D_SOD-123F,59.53125,-52.3875,0.0,bottom
D29,D_Small,D_SOD-123F,79.375,-52.3875,0.0,bottom
D3,D_Small,D_SOD-123F,59.53125,-46.0375,0.0,bottom
D30,D_Small,D_SOD-123F,98.425,-52.3875,0.0,bottom
D31,D_Small,D_SOD-123F,117.475,-52.3875,0.0,bottom
D32,D_Small,D_SOD-123F,136.525,-52.3875,0.0,bottom
D33,D_Small,D_SOD-123F,155.575,-52.3875,0.0,bottom
D34,D_Small,D_SOD-123F,174.625,-52.3875,0.0,bottom
D35,D_Small,D_SOD-123F,193.675,-52.3875,0.0,bottom
D36,D_Small,D_SOD-123F,212.725,-52.3875,0.0,bottom
D37,D_Small,D_SOD-123F,231.775,-52.3875,0.0,bottom
D38,D_Small,D_SOD-123F,272.25625,-59.53125,0.0,bottom
D39,D_Small,D_SOD-123F,38.70625,-55.5625,0.0,bottom
D4,D_Small,D_SOD-123F,79.375,-46.0375,0.0,bottom
D40,D_Small,D_SOD-123F,59.53125,-55.5625,0.0,bottom
D41,D_Small,D_SOD-123F,79.375,-55.5625,0.0,bottom
D42,D_Small,D_SOD-123F,98.425,-55.5625,0.0,bottom
D43,D_Small,D_SOD-123F,136.525,-55.5625,0.0,bottom
D44,D_Small,D_SOD-123F,174.625,-55.5625,0.0,bottom
D45,D_Small,D_SOD-123F,193.675,-55.5625,0.0,bottom
D46,D_Small,D_SOD-123F,212.725,-55.5625,0.0,bottom
D5,D_Small,D_SOD-123F,98.425,-46.0375,0.0,bottom
D6,D_Small,D_SOD-123F,117.475,-46.0375,0.0,bottom
D7,D_Small,D_SOD-123F,136.525,-46.0375,0.0,bottom
D8,D_Small,D_SOD-123F,155.575,-46.0375,0.0,bottom
D9,D_Small,D_SOD-123F,174.625,-46.0375,0.0,bottom
IC1,W25Q16JVUXIQ,SON50P300X200X60-9N,270.825,-84.93125,45.0,bottom
J3,Pico EZmate,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,249.55,-39.6875,90.0,bottom
LED1,SK6812MINI-E,LED_6028R,278.60625,-53.18125,180.0,bottom
LED10,MX_SK6812MINI-E,LED_MX_6028R,272.25625,-41.6,0.0,bottom
LED2,SK6812MINI-E,LED_6028R,281.78125,-41.275,90.0,bottom
LED3,SK6812MINI-E,LED_6028R,281.78125,-31.75,90.0,bottom
LED4,SK6812MINI-E,LED_6028R,278.60625,-19.84375,0.0,bottom
LED5,SK6812MINI-E,LED_6028R,265.90625,-19.84375,0.0,bottom
